model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,mim_gold_ner,hotter_and_colder_sentiment,scala_is,nqii
norallm/normistral-7b-warm-instruct (few-shot),7248,33,4096,True,False,6194,3.68,36.59,11.75,0.86,14.58
TurkuNLP/bert-base-finnish-cased-v1,125,50,512,True,False,16701,3.71,34.58,29.13,0.55,5.07
ibm-granite/granite-8b-code-instruct-4k (few-shot),8055,49,4096,True,False,5617,3.71,43.2,2.54,0.0,14.28
AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot),471,64,2048,True,False,5855,3.72,17.79,21.09,0.08,15.04
tollefj/nordavind-7b-instruct-warm (few-shot),7248,33,2048,False,False,6450,3.73,34.76,12.07,0.77,12.8
ibm-granite/granite-3.0-2b-instruct (few-shot),2634,49,4096,True,False,10194,3.75,30.21,5.88,3.67,15.12
KBLab/albert-base-swedish-cased-alpha,14,50,512,True,False,15925,3.77,42.07,17.77,0.27,7.35
NorwAI/NorwAI-Mistral-7B (few-shot),7537,68,4096,True,False,3035,3.78,21.4,14.64,0.99,13.84
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),7453,251,4096,False,False,1254,3.78,28.74,4.3,0.06,17.41
ltg/norbert2,125,50,512,True,False,15523,3.79,28.74,30.38,3.0,3.47
ibm-granite/granite-3b-code-base-2k (few-shot),3483,49,2048,True,False,2732,3.8,38.52,4.29,0.0,12.94
sarnikowski/convbert-medium-small-da-cased,24,29,512,True,False,13821,3.8,28.16,25.34,2.05,5.37
Qwen/Qwen1.5-4B-Chat (few-shot),3950,152,32768,False,False,4347,3.81,25.65,7.56,-0.35,14.46
meta-llama/Llama-3.2-1B-Instruct (few-shot),1236,128,131072,False,False,7436,3.84,33.76,6.91,-0.13,12.43
Maltehb/aelaectra-danish-electra-small-cased,14,32,512,True,False,4593,3.86,35.72,19.65,0.55,4.4
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),7242,32,4096,False,False,5172,3.86,24.98,13.57,1.18,8.52
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),1445,64,2048,True,False,4608,3.87,1.42,4.18,0.75,23.33
sarnikowski/convbert-small-da-cased,13,29,512,True,False,14273,3.87,25.49,24.23,1.63,5.28
Maltehb/aelaectra-danish-electra-small-uncased,14,32,512,True,False,5995,3.89,30.5,25.53,3.59,0.06
Qwen/Qwen1.5-4B (few-shot),3950,152,32768,True,False,3248,3.89,15.66,9.17,-0.55,14.11
google/gemma-2b (few-shot),2506,256,8192,True,False,6087,3.89,8.83,10.08,0.31,16.08
dbmdz/bert-tiny-historic-multilingual-cased,5,32,512,True,False,78027,3.91,43.93,9.46,0.04,6.13
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3374,49,4096,True,False,10246,3.91,23.14,5.07,0.18,14.15
asafaya/bert-base-arabic,111,32,512,True,False,16347,3.92,22.51,24.52,0.23,5.05
HuggingFaceTB/SmolLM2-1.7B (few-shot),1711,49,8192,True,False,16249,3.93,20.5,10.09,0.83,10.84
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),1711,49,8192,True,False,15971,3.95,26.23,6.86,2.69,10.84
ibm-granite/granite-3.0-2b-base (few-shot),2534,49,4096,True,False,10187,3.95,29.51,1.7,-0.32,12.36
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),7453,251,4096,True,False,1438,3.96,26.58,-0.79,0.63,15.14
ibm-granite/granite-3b-code-instruct-2k (few-shot),3483,49,2048,True,False,9059,3.97,33.57,0.6,0.0,11.27
ibm-granite/granite-7b-base (few-shot),6738,32,4096,True,False,4405,3.97,28.06,4.92,0.1,11.07
stabilityai/stablelm-2-1_6b (few-shot),1645,100,4096,True,False,7259,4.0,32.19,8.99,0.37,6.58
alexanderfalk/danbert-small-cased,83,52,514,True,False,30013,4.01,12.39,29.54,1.63,1.7
Maltehb/danish-bert-botxo,111,32,512,True,False,16091,4.06,12.64,22.02,0.06,4.77
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3374,49,4096,True,False,10504,4.08,18.07,0.65,-0.72,12.27
PleIAs/Pleias-1.2b-Preview (few-shot),1195,66,2048,True,False,10756,4.11,22.56,0.53,-0.26,11.77
fresh-electra-small,14,31,512,True,False,7840,4.11,9.96,30.18,-0.1,0.12
fresh-xlm-roberta-base,278,250,514,True,False,2214,4.11,17.34,25.25,-0.06,1.02
meta-llama/Llama-3.2-1B (few-shot),1236,128,131072,True,False,7577,4.11,17.77,7.64,-0.35,8.15
google/gemma-2b-it (few-shot),2506,256,8192,False,False,6471,4.14,20.49,-0.75,-0.01,10.95
NorwAI/NorwAI-Llama2-7B (few-shot),7033,68,4096,True,False,4438,4.17,9.35,10.7,1.14,7.51
Qwen/Qwen1.5-1.8B-Chat (few-shot),1837,152,32768,False,False,8304,4.19,14.15,6.87,0.78,7.8
ibm-granite/granite-7b-instruct (few-shot),6738,32,4096,True,False,3136,4.2,19.07,-0.51,0.99,9.54
utter-project/EuroLLM-1.7B-Instruct (few-shot),1657,128,4096,True,False,15009,4.2,13.29,6.83,0.92,7.49
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),1335,49,4096,True,False,7964,4.21,17.74,3.84,-1.13,7.74
PleIAs/Pleias-Nano (few-shot),1195,66,2048,True,False,2519,4.23,9.9,2.13,0.02,10.64
RJuro/kanelsnegl-v0.2 (few-shot),7242,32,4096,True,False,1373,4.27,23.67,7.76,0.0,0.0
PleIAs/Pleias-3b-Preview (few-shot),3212,66,4096,True,False,6513,4.28,18.86,-0.67,-0.76,8.09
HuggingFaceTB/SmolLM2-360M (few-shot),362,49,8192,True,False,22023,4.3,13.43,3.82,1.14,3.71
state-spaces/mamba-2.8b-hf (few-shot),2768,50,-1,True,False,2722,4.31,18.38,-1.7,0.49,6.3
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),362,49,8192,True,False,21777,4.32,13.6,3.12,0.28,4.09
PleIAs/Pleias-350m-Preview (few-shot),353,66,2048,True,False,10242,4.38,17.73,2.38,-0.18,1.59
Qwen/Qwen1.5-0.5B (few-shot),620,152,32768,True,False,11371,4.4,16.2,0.1,-0.57,3.31
ibm-granite/granite-3.0-1b-a400m-base (few-shot),1385,49,4096,True,False,7808,4.4,5.62,4.82,-0.2,4.94
HuggingFaceTB/SmolLM2-135M (few-shot),135,49,8192,True,False,26346,4.41,14.74,3.13,-0.25,1.35
PleIAs/Pleias-Pico (few-shot),353,66,2048,True,False,2331,4.41,13.8,2.17,-0.63,1.29
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),135,49,8192,True,False,25602,4.44,13.7,3.01,-0.83,0.94
Qwen/Qwen1.5-0.5B-Chat (few-shot),620,152,32768,False,False,11740,4.44,9.5,1.63,1.76,3.14
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),6738,32,4096,False,False,10890,4.45,9.48,3.32,0.07,1.04
Qwen/Qwen1.5-1.8B (few-shot),1837,152,32768,True,False,5666,4.48,12.26,-9.69,0.94,6.31
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),7537,68,4096,True,False,3024,4.49,3.69,5.91,1.24,0.29
RJuro/kanelsnegl-v0.1 (few-shot),7242,32,4096,True,False,5847,4.53,0.0,10.54,0.0,0.0
NorGLM/NorGPT-369M (few-shot),471,64,2048,True,False,19896,4.57,1.68,2.78,-1.38,0.08
Sigurdur/icebreaker (few-shot),110,32,1024,False,False,48619,4.61,0.0,2.31,0.0,0.0
ai-forever/mGPT (few-shot),-1,100,2048,True,False,11734,4.61,0.0,2.54,0.0,0.0
ltg/norbert,112,33,512,True,False,16280,4.66,0.0,-1.89,-0.03,1.68
Sigurdur/icechat (few-shot),110,32,1024,False,False,49558,4.68,0.0,1.86,0.0,0.0
Sigurdur/qa-icebreaker (few-shot),110,32,1024,False,False,44889,4.68,0.0,0.46,0.0,0.0
Sigurdur/jonas-hallgrimsson-gpt2 (few-shot),125,51,1024,False,False,32644,4.71,0.0,0.0,0.0,0.0
ssmits/Falcon2-5.5B-multilingual (few-shot),5465,65,8192,True,False,7692,4.71,0.0,-1.3,0.0,0.0
